,month,mumps
504,1970-01-01,330
505,1970-02-01,281
506,1970-03-01,354
507,1970-04-01,527
508,1970-05-01,463
509,1970-06-01,429
510,1970-07-01,300
511,1970-08-01,147
512,1970-09-01,104
513,1970-10-01,90
514,1970-11-01,77
515,1970-12-01,122
516,1971-01-01,146
517,1971-02-01,149
518,1971-03-01,248
519,1971-04-01,300
520,1971-05-01,223
521,1971-06-01,294
522,1971-07-01,235
523,1971-08-01,110
524,1971-09-01,88
525,1971-10-01,68
526,1971-11-01,88
527,1971-12-01,132
528,1972-01-01,149
529,1972-02-01,157
530,1972-03-01,219
531,1972-04-01,221
532,1972-05-01,264
533,1972-06-01,298
